mill_id,mill_name,year,month,heat_score,anomaly_pixels,anomaly_frac,mean_swir,peak_swir,zscore_max,prediction,threshold_used
4,Shagang Yonggang,2021,8,0.105894,16897,0.039523,1654.52,4879.87,16.988,ACTIVE,0.05664
4,Shagang Yonggang,2021,10,0.07671,15097,0.035312,1703.15,3986.0,7.129,ACTIVE,0.05664
4,Shagang Yonggang,2021,11,0.071344,14397,0.033675,1624.96,3615.0,6.595,ACTIVE,0.05664
4,Shagang Yonggang,2021,12,0.053224,10431,0.024398,1647.89,3598.5,6.836,IDLE,0.05664
4,Shagang Yonggang,2022,1,0.060212,12121,0.028351,1557.82,3441.5,7.876,ACTIVE,0.05664
4,Shagang Yonggang,2022,2,0.078648,15217,0.035593,1644.28,3998.5,7.467,ACTIVE,0.05664
4,Shagang Yonggang,2022,3,0.084653,16250,0.038009,1635.58,4038.75,8.021,ACTIVE,0.05664
4,Shagang Yonggang,2022,4,0.091463,16894,0.039516,1699.91,4368.5,19.695,ACTIVE,0.05664
4,Shagang Yonggang,2022,5,0.10547,16966,0.039684,1781.35,5212.0,15.103,ACTIVE,0.05664
4,Shagang Yonggang,2022,6,0.095838,17688,0.041373,2221.8,5511.87,14.427,ACTIVE,0.05664
4,Shagang Yonggang,2022,7,0.115908,18574,0.043445,1760.18,5232.5,15.578,ACTIVE,0.05664
4,Shagang Yonggang,2022,10,0.092655,17338,0.040554,1465.94,3626.5,6.922,ACTIVE,0.05664
4,Shagang Yonggang,2022,11,0.092302,17820,0.041682,1438.36,3464.5,9.853,ACTIVE,0.05664
4,Shagang Yonggang,2022,12,0.066197,13728,0.03211,1489.49,3170.99,13.226,ACTIVE,0.05664
4,Shagang Yonggang,2023,1,0.064795,13764,0.032194,1525.13,3177.25,10.592,ACTIVE,0.05664
4,Shagang Yonggang,2023,2,0.078371,16007,0.037441,1544.54,3464.0,7.85,ACTIVE,0.05664
4,Shagang Yonggang,2023,3,0.072952,15607,0.036505,1707.22,3625.0,8.895,ACTIVE,0.05664
4,Shagang Yonggang,2023,4,0.102401,18763,0.043887,1552.51,4010.5,22.821,ACTIVE,0.05664
4,Shagang Yonggang,2023,5,0.108465,18206,0.042584,1892.67,5300.5,15.765,ACTIVE,0.05664
4,Shagang Yonggang,2023,9,0.117247,18926,0.044269,1719.16,5142.0,13.526,ACTIVE,0.05664
4,Shagang Yonggang,2023,10,0.097566,18681,0.043695,1485.69,3664.75,7.365,ACTIVE,0.05664
4,Shagang Yonggang,2023,11,0.057522,12382,0.028962,1654.45,3323.5,6.723,ACTIVE,0.05664
4,Shagang Yonggang,2023,12,0.062698,13065,0.030559,1571.59,3305.5,15.29,ACTIVE,0.05664
4,Shagang Yonggang,2024,1,0.069267,14488,0.033888,1524.15,3261.11,8.05,ACTIVE,0.05664
